epoch,kWh
1778227200,0.366
1778229000,0.188
1778230800,0.863
1778232600,1.814
1778234400,1.062
1778236200,0.189
1778238000,0.301
1778239800,0.391
1778241600,0.577
1778243400,0.669
1778245200,0.351
1778247000,0.303
1778248800,0.441
1778250600,1.283
1778252400,0.988
1778254200,0.41
1778256000,0.212
1778257800,0.132
1778259600,0.128
1778261400,0.202
1778263200,0.128
1778265000,0.992
1778266800,1.844
1778268600,2.024
1778270400,0.741
1778272200,0.695
1778274000,0.462
1778275800,0.357
1778277600,1.412
1778279400,0.752
1778281200,0.178
1778283000,0.194
1778284800,0.125
1778286600,0.106
1778288400,0.088
1778290200,0.073
1778292000,0.105
1778293800,0.2
1778295600,0.1
1778297400,0.069
1778299200,0.168
1778301000,0.063
1778302800,0.239
1778304600,0.14
1778306400,0.161
1778308200,0.057
1778310000,0.172
1778311800,0.068
1778313600,0.059
1778315400,0.076
1778317200,0.068
1778319000,0.049
1778320800,0.084
1778322600,0.265
1778324400,0.547
1778326200,0.719
1778328000,0.266
1778329800,0.319
1778331600,0.121
1778333400,0.221
1778335200,0.103
1778337000,0.196
1778338800,0.224
1778340600,0.947
1778342400,0.516
1778344200,0.114
1778346000,0.066
1778347800,0.13
1778349600,0.121
1778351400,0.144
1778353200,0.279
1778355000,0.205
1778356800,0.514
1778358600,0.329
1778360400,0.208
1778362200,0.234
1778364000,0.342
1778365800,0.239
1778367600,0.363
1778369400,0.511
1778371200,0.171
1778373000,0.253
1778374800,0.204
1778376600,0.336
1778378400,0.24
1778380200,0.254
1778382000,0.23
1778383800,0.198
1778385600,0.29
1778387400,0.182
1778389200,0.269
1778391000,0.236
1778392800,0.279
1778394600,0.197
1778396400,0.245
1778398200,0.164
1778400000,0.262
1778401800,0.181
1778403600,0.424
1778405400,0.816
1778407200,0.508
1778409000,0.774
1778410800,0.16
1778412600,0.265
1778414400,0.304
1778416200,0.157
1778418000,0.165
1778419800,0.17
1778421600,0.196
1778423400,0.291
1778425200,0.457
1778427000,0.098
1778428800,0.229
1778430600,0.127
1778432400,0.215
1778434200,0.112
1778436000,0.147
1778437800,0.207
1778439600,0.182
1778441400,0.193
1778443200,0.255
1778445000,0.241
1778446800,0.207
1778448600,0.264
1778450400,0.209
1778452200,0.367
1778454000,0.187
1778455800,0.23
1778457600,0.21
1778459400,0.377
1778461200,0.206
1778463000,0.302
1778464800,0.245
1778466600,0.297
1778468400,0.204
1778470200,0.3
1778472000,0.185
1778473800,0.266
1778475600,0.255
1778477400,0.214
1778479200,0.263
1778481000,0.139
1778482800,0.263
1778484600,0.171
1778486400,0.256
1778488200,0.255
1778490000,0.318
1778491800,0.252
1778493600,1.116
1778495400,0.611
1778497200,0.303
1778499000,0.304
1778500800,0.605
1778502600,0.29
1778504400,0.15
1778506200,0.624
1778508000,0.97
1778509800,0.913
1778511600,0.534
1778513400,0.323
1778515200,0.35
1778517000,0.276
1778518800,0.078
1778520600,0.078
1778522400,0.104
1778524200,0.576
1778526000,1.37
1778527800,1.261
1778529600,0.238
1778531400,0.314
1778533200,0.426
1778535000,0.54
1778536800,0.693
1778538600,0.79
1778540400,0.167
1778542200,0.124
1778544000,0.119
1778545800,0.103
1778547600,0.084
1778549400,0.087
1778551200,0.086
1778553000,0.088
1778554800,0.116
1778556600,0.119
1778558400,0.102
1778560200,0.06
1778562000,0.089
1778563800,0.073
1778565600,0.088
1778567400,0.049
1778569200,0.063
1778571000,0.081
1778572800,0.291
1778574600,0.232
1778576400,0.496
1778578200,1.218
1778580000,0.599
1778581800,1.0
1778583600,0.739
1778585400,0.156
1778587200,0.161
1778589000,0.168
1778590800,0.193
1778592600,0.121
1778594400,0.154
1778596200,1.05
1778598000,0.352
1778599800,0.654
1778601600,0.859
1778603400,1.043
1778605200,0.328
1778607000,0.204
1778608800,0.191
1778610600,0.198
1778612400,0.222
1778614200,0.257
1778616000,0.239
1778617800,0.578
1778619600,0.813
1778621400,0.577
1778623200,0.974
1778625000,0.786
1778626800,0.942
1778628600,1.298
1778630400,0.401
1778632200,0.349
1778634000,0.376
1778635800,0.327
1778637600,0.341
1778639400,0.341
1778641200,0.312
1778643000,0.142
1778644800,0.276
1778646600,0.148
1778648400,0.285
1778650200,0.34
1778652000,0.187
1778653800,0.185
1778655600,0.273
1778657400,0.088
1778659200,0.075
1778661000,0.049
1778662800,0.041
1778664600,0.069
1778666400,0.339
1778668200,0.098
1778670000,0.291
1778671800,0.138
1778673600,0.155
1778675400,0.155
1778677200,0.174
1778679000,0.244
1778680800,0.167
1778682600,0.11
1778684400,0.297
1778686200,0.531
1778688000,0.268
1778689800,0.201
1778691600,0.452
1778693400,0.524
1778695200,0.504
1778697000,0.19
1778698800,0.545
1778700600,0.428
1778702400,0.227
1778704200,0.389
1778706000,0.248
1778707800,0.222
1778709600,0.149
1778711400,0.117
1778713200,0.23
1778715000,0.09
1778716800,0.079
1778718600,0.092
1778720400,0.112
1778722200,0.112
1778724000,0.083
1778725800,0.078
1778727600,0.093
1778729400,0.113
1778731200,0.089
1778733000,0.041
1778734800,0.063
1778736600,0.1
1778738400,0.087
1778740200,0.044
1778742000,0.069
1778743800,0.166
1778745600,0.19
1778747400,0.092
1778749200,0.069
1778751000,0.058
1778752800,0.06
1778754600,0.073
1778756400,0.081
1778758200,0.962
1778760000,0.998
1778761800,1.239
1778763600,0.941
1778765400,0.353
1778767200,0.18
1778769000,0.121
1778770800,0.104
1778772600,0.121
1778774400,0.154
1778776200,0.17
1778778000,0.171
1778779800,0.18
1778781600,0.62
1778783400,0.324
1778785200,0.206
1778787000,0.252
1778788800,0.467
1778790600,0.366
1778792400,0.431
1778794200,0.894
1778796000,0.635
1778797800,0.173
1778799600,0.157
1778801400,0.126
1778803200,0.157
1778805000,0.16
1778806800,0.153
1778808600,0.126
1778810400,0.129
1778812200,0.161
1778814000,0.161
1778815800,0.146
1778817600,0.117
1778819400,0.103
1778821200,0.145
1778823000,0.131
1778824800,0.103
1778826600,0.181
1778828400,0.148
1778830200,0.08
1778832000,0.059
1778833800,0.113
1778835600,0.228
1778837400,1.504
1778839200,0.473
1778841000,0.613
1778842800,0.998
1778844600,0.522
1778846400,0.19
1778848200,0.16
1778850000,1.573
1778851800,1.919
1778853600,0.639
1778855400,0.181
1778857200,0.428
1778859000,2.216
1778860800,1.826
1778862600,0.901
1778864400,0.436
1778866200,0.255
1778868000,0.735
1778869800,0.808
1778871600,0.343
1778873400,0.698
1778875200,1.137
1778877000,0.229
1778878800,0.452
1778880600,0.841
1778882400,2.568
1778884200,1.685
1778886000,0.466
1778887800,0.768
1778889600,0.244
1778891400,0.254
1778893200,0.242
1778895000,0.269
1778896800,0.12
1778898600,0.109
1778900400,0.11
1778902200,0.11
1778904000,0.084
1778905800,0.223
1778907600,0.091
1778909400,0.174
1778911200,0.151
1778913000,0.061
1778914800,0.181
1778916600,0.185
1778918400,0.069
1778920200,0.157
1778922000,0.569
1778923800,0.848
1778925600,1.084
1778927400,2.827
1778929200,2.121
1778931000,0.743
1778932800,0.396
1778934600,0.39
1778936400,0.722
1778938200,0.271
1778940000,0.57
1778941800,1.621
1778943600,1.102
1778945400,1.229
1778947200,0.819
1778949000,0.245
1778950800,0.333
1778952600,0.297
1778954400,0.204
1778956200,1.008
1778958000,1.169
1778959800,0.979
1778961600,1.008
1778963400,0.584
1778965200,0.303
1778967000,1.493
1778968800,0.835
1778970600,0.934
1778972400,1.105
1778974200,0.241
1778976000,0.146
1778977800,0.219
1778979600,0.22
1778981400,0.165
1778983200,0.157
1778985000,0.22
1778986800,0.196
1778988600,0.07
1778990400,0.17
1778992200,0.156
1778994000,0.184
1778995800,0.173
1778997600,0.201
1778999400,0.183
1779001200,0.047
1779003000,0.279
1779004800,0.154
1779006600,0.401
1779008400,0.466
1779010200,0.219
1779012000,0.186
1779013800,1.882
1779015600,0.932
1779017400,0.802
1779019200,0.829
1779021000,0.553
1779022800,0.851
1779024600,0.305
1779026400,0.516
1779028200,0.177
1779030000,0.513
1779031800,0.29
1779033600,0.215
1779035400,0.491
1779037200,0.771
1779039000,0.738
1779040800,0.756
1779042600,0.239
1779044400,0.158
1779046200,0.297
1779048000,0.29
1779049800,0.323
1779051600,0.182
1779053400,0.258
1779055200,0.768
1779057000,1.423
1779058800,1.596
1779060600,1.238
1779062400,0.415
1779064200,0.388
1779066000,0.318
1779067800,0.3
1779069600,0.367
1779071400,0.419
1779073200,0.378
1779075000,0.235
1779076800,0.077
1779078600,0.063
1779080400,0.063
1779082200,0.051
1779084000,0.092
1779085800,0.093
1779087600,0.087
1779089400,0.135
1779091200,0.114
1779093000,0.11
1779094800,0.108
1779096600,0.159
1779098400,0.353
1779100200,1.35
1779102000,0.603
1779103800,0.1
1779105600,0.076
1779107400,0.071
1779109200,0.551
1779111000,0.587
1779112800,0.756
1779114600,0.429
1779116400,0.118
1779118200,0.069
1779120000,0.082
1779121800,0.068
1779123600,0.118
1779125400,0.094
1779127200,0.102
1779129000,0.135
1779130800,0.167
1779132600,0.204
1779134400,0.449
1779136200,0.191
1779138000,0.196
1779139800,0.59
1779141600,0.42
